基金名稱,類型,幣別,群益金鼎證券,兆豐證券,國泰證券,永豐金證券,康和證券,好好證券,元大證券,容海投顧,華南永昌證券,遠智證券,鉅亨投顧,新光投信,宏利投信,基富通證券,凱基證券,台銀證券,統一證券,台新證券,安睿宏觀投顧,富邦證券,日盛證券,元富證券,合庫證券,中租投顧,台新投信,柏瑞投信,核聚投顧
野村全天候組合,前收月配,新臺幣,●,00528529B,X, 140126,X,X,WMF004974,X,●,X,A32304,X,X,X,●,X,●,X,X,●,X,FD07109,X,●,X,X,X
野村全天候組合,前收累積,美元,●,00528529F,X, 140127,X,X,WMF004977,X,●,X,A32308,X,X,X,●,X,●,X,X,●,X,FD07110,X,●,X,X,X
野村全天候組合,前收月配,美元,●,00528529G,X, 140128,X,X,WMF004978,X,●,X,A32309,X,X,X,●,X,●,X,X,●,X,FD07111,X,●,X,X,X
野村全天候組合,前收月配,南非幣,●,00528529J,X, 140129,X,X,●,X,●,X,A32312,X,X,X,●,X,●,X,X,●,X,FD07112,X,●,X,X,X
野村全天候組合,後收累積,新臺幣,●,00528529C,X, 42N007,X,X,WMF004975,X,●,X,●,X,X,X,●,X,●,X,X,●,X,FD65037,X,●,X,X,X
野村全天候組合,後收月配,新臺幣,●,00528529D,X, 42N008,X,X,WMF004976,X,●,X,●,X,X,X,●,X,●,X,X,●,X,FD65038,X,●,X,X,X
野村全天候組合,後收累積,美元,●,00528529H,X, 42N009,X,X,WMF004979,X,●,X,●,X,X,X,●,X,●,X,X,●,X,FD65039,X,●,X,X,X
野村全天候組合,後收月配,美元,●,00528529I,X, 42N010,X,X,WMF004980,X,●,X,●,X,X,X,●,X,●,X,X,●,X,FD65040,X,●,X,X,X
野村全天候環球債券,前收累積,新臺幣,●,00572257A,X, 140130,X,●,WMF005109,X,●,X,A32317,X,X,NOM151,1241,X,A080056A,X,X,●,X,FD07113,X,32121,X,X,X
野村全天候環球債券,前收月配,新臺幣,●,00572257B,X, 140131,X,●,WMF005110,X,●,X,A32318,X,X,NOM152,1242,X,A080056B,X,X,●,X,FD07114,X,32122,X,X,X
野村全天候環球債券,前收累積,美元,●,00572257F,X, 140132,X,●,WMF005113,X,●,X,A32321,X,X,NOM153,1245,X,A080056F,X,X,●,X,FD07115,X,32123,X,X,X
野村全天候環球債券,前收月配,美元,●,00572257G,X, 140133,X,●,WMF005114,X,●,X,A32322,X,X,NOM154,1246,X,A080056G,X,X,●,X,FD07116,X,32124,X,X,X
野村全天候環球債券,前收月配,日幣,●,00572257K,X, 140134,X,●,WMF005117,X,●,X,A32325,X,X,NOM155,●,X,A080056K,X,X,●,X,FD07117,X,32125,X,X,X
